welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,trial_resp_keys,trial_resp_rt,trial_resp_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,121.3426,4,left,0.556,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,124.2113,5,left,0.5536,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,126.0872,6,left,0.638,,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,129.0583,7,up,2.2151,,1,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,133.0943,8,up,0.6117,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,136.0195,9,up,0.5221,,1,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,138.3489,10,up,0.4989,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,141.1759,11,up,1.5928,,1,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,145.0932,12,up,1.4615,,1,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,148.381,13,up,0.7226,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,151.418,14,up,1.3191,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,159.0621,0,up,0.483,,0,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,160.869,1,up,0.6444,,0,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,163.8528,2,up,0.5955,,0,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,165.7827,3,right,0.6528,,1,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,167.7742,4,right,0.4859,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,170.081,5,right,0.5682,,1,0,5,5,5,1,6,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,171.9715,6,right,0.888,,1,0,6,6,6,1,7,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,175.1817,7,right,0.578,,1,0,7,7,7,1,8,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,177.5789,8,right,0.5833,,0,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,180.4921,9,up,0.7584,,1,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
