welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,block_correct,reward_amount,date_end_task,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1069.057,3,right,0.7483,,1,0.5,1070.3238,0,3,3,3,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1070.8293,4,right,0.6421,,1,0.5,1071.9913,0,4,4,4,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1072.4922,5,right,0.9065,,1,0.5,1073.9088,0,5,5,5,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1074.41,6,right,0.5813,0.0793,1,1.5,1076.5772,0,6,6,6,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1077.0794,7,right,0.5305,,1,1.5,1079.1463,0,7,7,7,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1079.6461,8,right,0.5286,,0,1,1081.1961,0,8,8,8,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1081.6975,9,up,0.6385,,0,1,1083.3484,0,9,9,9,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1083.8482,10,up,0.7006,,0,1,1085.566,0,10,10,10,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1086.0687,11,left,0.5508,,1,1.5,1088.1519,0,11,11,11,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,1088.6516,12,left,0.5265,,1,1.5,1090.6865,0,12,12,12,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1091.1981,13,left,2.5354,,1,1.5,1095.2561,0,13,13,13,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,0,1,left,,,,,,,,,,,
